gender,age,residence,education,employment,usePOZ,freqOfVisits,isPunctual,correctDateOfEConsultation,isProblemResolved,wasVisitProposed,wereInstructionsClear,purposeOfEConsultation,useOfETechniques,isPreparedBeforeEConsultation,fearOfViolatingConfidentiality,wasDoctorEngaged,whenWasEConsultation,didTechnicalProblemsOccur,eConsultationVsVisit,eConsultationAsStandard,accessibilityVsLimitingEConsults,eConsultationVsChildren,queuesAndVisits,whoDecidesWhichForm
Male,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,True,NextDay,False,eConsultation,True,False,True,True,patient
Female,18-25,<100k,Secondary,Student,True,Occasional,True,False,False,False,True,GeneralConsultation,False,True,False,NoOpinion,SameDay,False,visit,False,False,False,True,doctor
Female,18-25,<500k,Secondary,Student,True,Regular,True,True,False,True,True,ReferralToSpecialist,True,True,NoOpinion,NoOpinion,Within3Days,True,eConsultation,True,True,True,NoOpinion,patient
Male,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,False,False,NoOpinion,NextDay,False,visit,True,NoOpinion,NoOpinion,NoOpinion,doctor
Female,26-35,<500k,University,Employed,True,Regular,True,True,True,True,True,Prescription,True,True,False,False,Within3Days,False,visit,True,False,True,True,doctor
Female,26-35,>500k,University,Employed,True,Occasional,True,True,True,True,True,ConsultOfTestResults,True,True,False,False,SameDay,False,eConsultation,True,True,NoOpinion,True,doctor
Female,18-25,Village,University,Student,True,Occasional,True,True,True,True,True,Prescription,True,False,NoOpinion,False,SameDay,False,visit,False,NoOpinion,True,False,patient
Male,26-35,>500k,University,Employed,True,Occasional,True,True,False,False,False,GeneralConsultation,True,True,NoOpinion,True,Later,False,visit,False,False,True,False,doctor
Female,18-25,>500k,Secondary,Student,True,Occasional,True,True,True,False,True,GeneralConsultation,True,False,False,False,SameDay,False,eConsultation,True,NoOpinion,True,True,noOpinion
Male,18-25,<500k,University,Student,True,Occasional,True,True,True,False,True,Prescription,True,False,False,False,NextDay,False,eConsultation,True,True,True,True,doctor
Female,36-45,>500k,University,Employed,True,Occasional,True,True,True,True,True,ReferralToSpecialist,True,True,False,False,SameDay,False,visit,False,NoOpinion,True,False,doctor
Female,18-25,Village,University,Student,True,Occasional,True,True,True,True,True,GeneralConsultation,True,True,False,False,SameDay,False,eConsultation,True,False,True,True,patient
